start_id,end_id,type
1,6,FEEDS
1,7,FEEDS
2,8,FEEDS
2,9,FEEDS
2,10,FEEDS
3,11,FEEDS
3,12,FEEDS
4,13,FEEDS
4,14,FEEDS
4,15,FEEDS
5,16,FEEDS
5,17,FEEDS
5,18,FEEDS
6,19,CONNECTS_TO
6,20,CONNECTS_TO
7,21,CONNECTS_TO
7,22,CONNECTS_TO
8,23,CONNECTS_TO
8,24,CONNECTS_TO
9,25,CONNECTS_TO
9,26,CONNECTS_TO
10,27,CONNECTS_TO
10,28,CONNECTS_TO
11,29,CONNECTS_TO
11,30,CONNECTS_TO
12,31,CONNECTS_TO
12,32,CONNECTS_TO
13,33,CONNECTS_TO
13,34,CONNECTS_TO
14,35,CONNECTS_TO
14,36,CONNECTS_TO
15,37,CONNECTS_TO
15,38,CONNECTS_TO
16,39,CONNECTS_TO
16,40,CONNECTS_TO
17,41,CONNECTS_TO
17,42,CONNECTS_TO
18,43,CONNECTS_TO
18,44,CONNECTS_TO
19,45,CONNECTS_TO
20,84,CONNECTS_TO
21,46,CONNECTS_TO
22,85,CONNECTS_TO
23,47,CONNECTS_TO
24,86,CONNECTS_TO
25,48,CONNECTS_TO
26,87,CONNECTS_TO
27,49,CONNECTS_TO
28,88,CONNECTS_TO
29,50,CONNECTS_TO
30,89,CONNECTS_TO
31,51,CONNECTS_TO
32,90,CONNECTS_TO
33,52,CONNECTS_TO
34,91,CONNECTS_TO
35,53,CONNECTS_TO
36,92,CONNECTS_TO
37,54,CONNECTS_TO
38,93,CONNECTS_TO
39,55,CONNECTS_TO
40,94,CONNECTS_TO
41,56,CONNECTS_TO
42,95,CONNECTS_TO
43,57,CONNECTS_TO
44,96,CONNECTS_TO
45,58,SUPPLIES
45,59,SUPPLIES
46,60,SUPPLIES
46,61,SUPPLIES
47,62,SUPPLIES
47,63,SUPPLIES
48,64,SUPPLIES
48,65,SUPPLIES
49,66,SUPPLIES
49,67,SUPPLIES
50,68,SUPPLIES
50,69,SUPPLIES
51,70,SUPPLIES
51,71,SUPPLIES
52,72,SUPPLIES
52,73,SUPPLIES
53,74,SUPPLIES
53,75,SUPPLIES
54,76,SUPPLIES
54,77,SUPPLIES
55,78,SUPPLIES
55,79,SUPPLIES
56,80,SUPPLIES
56,81,SUPPLIES
57,82,SUPPLIES
57,83,SUPPLIES
