start_id,end_id,type
F1,SS1,FEEDS
F2,SS3,FEEDS

SS1,SW9,HAS
SS1,SW10,HAS
SS1,BB5,HAS
SS2,SW11,HAS
SS2,SW12,HAS
SS2,BB6,HAS
SS3,SW13,HAS
SS3,SW14,HAS
SS3,BB7,HAS

RMU1,SW1,HAS
RMU1,SW2,HAS
RMU1,BB1,HAS
RMU2,SW3,HAS
RMU2,SW4,HAS
RMU2,BB2,HAS
RMU3,SW5,HAS
RMU3,SW6,HAS
RMU3,BB3,HAS
RMU4,SW7,HAS
RMU4,SW8,HAS
RMU4,BB4,HAS

SW9,SW1,CONNECTED_TO
SW1,SW2,CONNECTED_TO
SW2,SW11,CONNECTED_TO
SW11,SW3,CONNECTED_TO
SW3,SW4,CONNECTED_TO
SW4,SW13,CONNECTED_TO
SW13,SW5,CONNECTED_TO
SW5,SW6,CONNECTED_TO
SW6,SW7,CONNECTED_TO
SW7,SW8,CONNECTED_TO
SW8,SW10,CONNECTED_TO

SW1,T1,CONNECTED_TO
SW2,T2,CONNECTED_TO
SW3,T3,CONNECTED_TO
SW4,T4,CONNECTED_TO
SW5,T5,CONNECTED_TO
SW6,T6,CONNECTED_TO

T1,LV1,STEPS_DOWN
T2,LV2,STEPS_DOWN
T3,LV3,STEPS_DOWN
T4,LV4,STEPS_DOWN
T5,LV5,STEPS_DOWN
T6,LV6,STEPS_DOWN
